Source,Target,Weight
James Stewart,Joanne Dru,6.5
James Stewart,Dan Duryea,6.5
James Stewart,Harry Morgan,13.5
James Stewart,Robert Ryan,7.3
James Stewart,John Wayne,7.0
James Stewart,Richard Widmark,7.0
James Stewart,Gregory Peck,7.0
James Stewart,Agnes Moorehead,7.0
James Stewart,Carroll Baker,7.0
James Stewart,Lee J. Cobb,7.0
James Stewart,Henry Fonda,7.0
James Stewart,Carolyn Jones,7.0
James Stewart,Karl Malden,7.0
James Stewart,George Peppard,7.0
James Stewart,Robert Preston,7.0
James Stewart,Debbie Reynolds,7.0
James Stewart,Eli Wallach,7.0
James Stewart,Andy Devine,7.0
James Stewart,Thelma Ritter,7.0
James Stewart,Spencer Tracy,7.0
James Stewart,Brigid Bazlen,7.0
James Stewart,William Wellman Jr.,7.0
James Stewart,Andrew Prine,6.5
James Stewart,Debra Paget,7.2
James Stewart,Jeff Chandler,7.2
James Stewart,Jay Silverheels,7.2
James Stewart,Joyce MacKenzie,7.2
James Stewart,Will Geer,13.7
James Stewart,Arthur Hunnicutt,7.2
James Stewart,Murray Hamilton,7.1
James Stewart,Patricia Smith,7.1
James Stewart,Bartlett Robinson,7.1
James Stewart,John Mitchum,6.5
James Stewart,Millard Mitchell,7.3
James Stewart,Janet Leigh,7.3
James Stewart,Dub Taylor,6.5
James Stewart,"Harry Carey, Jr.",6.5
James Stewart,Denver Pyle,6.5
James Stewart,George Kennedy,6.5
James Stewart,Dean Martin,6.5
James Stewart,Sean McClory,6.5
James Stewart,Perry Lopez,6.5
James Stewart,Ralph Meeker,7.3
James Stewart,Raquel Welch,6.5
James Stewart,Roy Barcroft,6.5
James Stewart,Patrick Cranshaw,6.5
James Stewart,Jock Mahoney,6.5
James Stewart,"Don ""Red"" Barry",6.5
James Stewart,Bob Adler,6.5
James Stewart,Clint Ritchie,6.5
Joanne Dru,Dan Duryea,6.5
Joanne Dru,Harry Morgan,6.5
Dan Duryea,Harry Morgan,6.5
Harry Morgan,John Wayne,7.0
Harry Morgan,Richard Widmark,7.0
Harry Morgan,Gregory Peck,7.0
Harry Morgan,Agnes Moorehead,7.0
Harry Morgan,Carroll Baker,7.0
Harry Morgan,Lee J. Cobb,7.0
Harry Morgan,Henry Fonda,7.0
Harry Morgan,Carolyn Jones,7.0
Harry Morgan,Karl Malden,7.0
Harry Morgan,George Peppard,7.0
Harry Morgan,Robert Preston,7.0
Harry Morgan,Debbie Reynolds,7.0
Harry Morgan,Eli Wallach,7.0
Harry Morgan,Andy Devine,7.0
Harry Morgan,Thelma Ritter,7.0
Harry Morgan,Spencer Tracy,7.0
Harry Morgan,Brigid Bazlen,7.0
Harry Morgan,William Wellman Jr.,7.0
Christopher Reeve,Maria Schell,7.4
Christopher Reeve,Ned Beatty,14.2
Christopher Reeve,Gene Hackman,14.2
Christopher Reeve,Trevor Howard,7.4
Christopher Reeve,Terence Stamp,14.2
Christopher Reeve,Marc McClure,14.2
Christopher Reeve,Jackie Cooper,14.2
Christopher Reeve,Glenn Ford,7.4
Christopher Reeve,Margot Kidder,14.2
Christopher Reeve,Jeff East,7.4
Christopher Reeve,Susannah York,14.2
Christopher Reeve,Phyllis Thaxter,7.4
Christopher Reeve,Valerie Perrine,14.2
Christopher Reeve,Sarah Douglas,14.2
Christopher Reeve,Marlon Brando,7.4
Christopher Reeve,Jack O'Halloran,14.2
Christopher Reeve,Clifton James,6.8
Christopher Reeve,E. G. Marshall,6.8
Maria Schell,Ned Beatty,7.4
Maria Schell,Gene Hackman,7.4
Maria Schell,Trevor Howard,7.4
Maria Schell,Terence Stamp,7.4
Maria Schell,Marc McClure,7.4
Maria Schell,Jackie Cooper,7.4
Maria Schell,Glenn Ford,7.4
Maria Schell,Margot Kidder,7.4
Maria Schell,Jeff East,7.4
Maria Schell,Susannah York,7.4
Maria Schell,Phyllis Thaxter,7.4
Maria Schell,Valerie Perrine,7.4
Maria Schell,Sarah Douglas,7.4
Maria Schell,Marlon Brando,7.4
Maria Schell,Jack O'Halloran,7.4
Ned Beatty,Gene Hackman,14.2
Ned Beatty,Trevor Howard,7.4
Ned Beatty,Terence Stamp,14.2
Ned Beatty,Marc McClure,14.2
Ned Beatty,Jackie Cooper,14.2
Ned Beatty,Glenn Ford,7.4
Ned Beatty,Margot Kidder,14.2
Ned Beatty,Jeff East,7.4
Ned Beatty,Susannah York,14.2
Ned Beatty,Phyllis Thaxter,7.4
Ned Beatty,Valerie Perrine,14.2
Ned Beatty,Sarah Douglas,14.2
Ned Beatty,Marlon Brando,7.4
Ned Beatty,Jack O'Halloran,14.2
Ned Beatty,Michael Caine,6.5
Ned Beatty,Sean Connery,6.4
Ned Beatty,Julian Glover,6.5
Ned Beatty,Ronny Cox,7.7
Ned Beatty,Scarlett Johansson,6.4
Ned Beatty,Kate Mara,7.1
Ned Beatty,Johnny Depp,7.2
Ned Beatty,Bill Nighy,7.2
Ned Beatty,Hope Lange,6.4
Ned Beatty,Harry Dean Stanton,7.2
Ned Beatty,Timothy Olyphant,7.2
Ned Beatty,Alanna Ubach,7.2
Ned Beatty,Isla Fisher,7.2
Ned Beatty,Abigail Breslin,7.2
Ned Beatty,Alfred Molina,7.2
Ned Beatty,Stephen Root,7.2
Ned Beatty,Ray Winstone,7.2
