Source,Target,Weight
Srđan Todorović,Branka Katić,8.0
Srđan Todorović,Slobodan Ninkovic,8.2
Srđan Todorović,Miloš Biković,8.2
Srđan Todorović,Petar Strugar,8.2
Srđan Todorović,Nina Jankovic,8.2
Srđan Todorović,Danina Jeftić,8.2
Srđan Todorović,Vojin Ćetković,8.2
Srđan Todorović,Viktor Savić,8.2
Srđan Todorović,Nikola Đuričko,8.2
Srđan Todorović,Nebojsa Ilic,8.2
Srđan Todorović,Milutin Karadžić,8.2
Srđan Todorović,Branimir Brstina,8.2
Srđan Todorović,Sergej Trifunović,8.2
Srđan Todorović,Predrag Vasic,8.2
Srđan Todorović,Gordana Djurdjevic,8.2
Srđan Todorović,Anita Mancic,8.2
Srđan Todorović,Marko Nikolic,8.2
Srđan Todorović,Darko Tomovic,8.2
Srđan Todorović,Boris Komnenic,8.2
Srđan Todorović,Srdjan Timarov,8.2
Branka Katić,Juliette Binoche,7.2
Branka Katić,Jude Law,7.2
Branka Katić,Martin Freeman,7.2
Branka Katić,Vera Farmiga,7.2
Branka Katić,Robin Wright,7.2
Branka Katić,Rafi Gavron,7.2
Branka Katić,Juliet Stevenson,7.2
Branka Katić,Poppy Rogers,7.2
Branka Katić,Ed Westwick,7.2
Branka Katić,Velibor Topic,7.2
Branka Katić,Rad Lazar,7.2
Branka Katić,Ting-Ting Hu,7.2
Branka Katić,Romi Aboulafia,7.2
Branka Katić,Anna Chancellor,7.2
Branka Katić,Mark Benton,7.2
Branka Katić,Caroline Chikezie,7.2
Branka Katić,O-T Fagbenle,7.2
Branka Katić,Ray Winstone,7.2
Branka Katić,Eddie Sicoli,7.2
Jill Clayburgh,Michael Murphy,7.1
Jill Clayburgh,Cliff Gorman,7.1
Jill Clayburgh,Patricia Quinn,7.1
Jill Clayburgh,Kelly Bishop,7.1
Jill Clayburgh,Alan Bates,7.1
Jill Clayburgh,Lisa Lucas,7.1
Jill Clayburgh,Linda Miller,7.1
Jill Clayburgh,Daniel Seltzer,7.1
Jill Clayburgh,Matthew Arkin,7.1
Jill Clayburgh,Penelope Russianoff,7.1
Jill Clayburgh,Novella Nelson,7.1
Jill Clayburgh,Raymond J. Barry,7.1
Jill Clayburgh,Ivan Karp,7.1
Jill Clayburgh,Kristen Wiig,6.8
Jill Clayburgh,Rose Byrne,6.8
Jill Clayburgh,Maya Rudolph,6.8
Jill Clayburgh,Terry Crews,6.8
Jill Clayburgh,Jessica St. Clair,6.8
Jill Clayburgh,Kali Hawk,6.8
Jill Clayburgh,Rebel Wilson,6.8
Jill Clayburgh,Matt Lucas,6.8
Jill Clayburgh,Wendi McLendon-Covey,6.8
Jill Clayburgh,Ellie Kemper,6.8
